"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"11",36,30,28,34,30,34,34,32,34,36,0,28,10,8,28,36,28,6,8,34,28,8,26,34,6,30,26,1e-09,34,2,32,24,30,26,32,2,28,8,30,30,10,32,32,8,28,34,32,32,28,30,4,4,30,26,32,36,34,26,18,18,22,16,14,10,24,24,8,24,10,28,14,30
"12",36,32,34,34,30,28,22,24,26,28,28,0,2,6,26,30,24,6,8,36,26,10,32,36,6,30,24,6,30,8,34,12,32,28,34,4,30,6,30,30,4,34,34,6,30,30,28,30,30,30,6,10,30,28,30,30,30,32,12,20,10,12,16,4,26,2,10,26,12,26,30,28
"13",26,24,30,24,22,6,4,2,4,4,10,2,0,10,26,28,26,6,6,34,28,10,30,32,10,32,26,2,34,8,34,6,32,6,32,4,36,6,32,32,10,30,32,8,24,32,30,30,30,28,28,30,28,28,32,28,32,26,14,20,16,10,16,6,8,4,6,26,12,26,28,30
"14",4,8,6,6,4,8,8,12,10,8,8,6,10,0,28,34,28,1e-09,28,34,30,12,30,28,10,34,28,6,34,10,36,2,30,10,36,8,32,8,30,34,8,28,34,26,26,32,34,32,28,28,28,30,28,26,34,34,32,24,16,14,16,22,22,8,6,6,6,28,6,28,28,32
"15",4,2,6,4,6,1e-09,28,28,26,26,28,26,26,28,0,30,30,6,28,28,30,6,32,30,12,32,28,6,32,10,34,8,32,6,34,8,32,2,28,32,6,30,32,26,4,32,30,30,32,30,26,32,30,32,32,30,32,2,18,12,18,24,12,10,4,4,8,28,4,28,30,26
"16",30,32,32,30,32,34,32,36,34,32,36,30,28,34,30,0,30,10,30,30,28,12,34,24,6,34,26,4,34,12,34,8,30,4,32,10,34,8,30,34,8,24,30,28,2,30,30,32,30,28,26,32,28,30,34,34,30,2,16,20,20,28,18,8,10,6,2,26,22,26,30,28
"17",34,34,32,34,36,36,32,34,34,30,28,24,26,28,30,30,0,10,30,36,30,10,32,22,10,34,28,30,36,6,28,6,32,6,36,4,30,30,32,34,4,22,36,28,4,28,32,30,30,28,28,30,28,30,32,32,28,4,18,22,20,30,16,10,8,6,2,24,24,28,28,26
"18",28,26,32,26,24,4,4,2,4,8,6,6,6,1e-09,6,10,10,0,28,32,32,8,34,24,8,36,30,30,36,12,30,2,30,10,30,8,30,30,32,36,6,24,32,26,4,30,30,28,32,30,26,32,30,32,30,32,30,4,10,26,22,30,16,10,6,8,4,30,26,30,30,28
"19",6,6,8,2,10,12,4,2,4,4,8,8,6,28,28,30,30,28,0,32,26,6,34,26,8,34,24,28,32,10,36,6,32,8,28,6,32,32,30,34,2,26,30,28,6,32,28,34,34,30,26,32,30,34,36,32,32,8,12,28,20,28,18,12,12,8,6,24,28,24,32,30
"20",30,30,28,32,30,30,32,34,32,34,34,36,34,34,28,30,36,32,32,0,28,2,36,26,6,34,26,28,34,8,32,2,28,12,34,6,32,32,32,34,8,26,34,28,2,34,30,30,32,30,28,30,32,32,30,34,34,6,20,28,16,26,16,12,4,6,4,22,28,26,26,32
"21",36,30,32,34,34,34,36,32,28,30,28,26,28,30,30,28,30,32,26,28,0,8,34,24,1e-09,28,6,30,34,6,32,4,30,10,30,8,32,30,34,28,6,24,30,26,4,34,30,28,34,32,30,34,32,34,28,34,34,6,18,26,12,32,16,2,2,4,4,12,26,12,28,32
"22",2,6,1e-09,10,2,4,8,4,2,8,8,10,10,12,6,12,10,8,6,2,8,0,34,26,8,30,10,28,30,2,36,6,34,8,34,2,34,32,28,30,26,26,34,32,10,32,30,32,32,30,30,30,30,34,34,30,32,16,16,24,14,26,20,8,10,8,12,14,24,6,4,30
"23",4,10,4,26,26,28,28,26,28,28,26,32,30,30,32,34,32,34,34,36,34,34,0,28,6,36,4,28,28,8,30,2,30,10,34,6,30,32,30,36,26,28,32,28,2,30,32,28,34,30,32,32,32,36,30,32,30,18,20,30,18,24,14,12,8,4,14,2,30,6,6,28
"24",28,30,36,32,32,36,30,32,34,34,34,36,32,28,30,24,22,24,26,26,24,26,28,0,8,32,8,30,26,4,32,4,30,8,32,4,28,30,6,32,28,22,34,30,6,36,28,32,32,32,30,34,34,34,34,32,36,14,12,24,24,4,10,8,10,2,28,12,24,2,2,34
"25",22,24,6,2,8,4,2,6,4,4,6,6,10,10,12,6,10,8,8,6,1e-09,8,6,8,0,32,8,30,28,10,34,4,32,10,34,6,30,34,10,32,28,24,32,32,2,30,28,30,34,30,30,34,32,34,32,30,30,12,14,22,14,10,12,6,10,6,26,2,22,2,10,28
"26",2,26,26,28,28,26,28,28,26,32,30,30,32,34,32,34,34,36,34,34,28,30,36,32,32,0,2,32,30,4,34,10,30,4,36,4,26,30,10,36,26,4,34,32,8,28,30,32,28,32,32,32,36,28,32,28,28,20,18,8,20,24,24,10,2,6,26,4,10,4,12,26
"27",36,30,32,34,34,34,36,32,28,30,26,24,26,28,28,26,28,30,24,26,6,10,4,8,8,2,0,32,32,26,34,8,28,4,36,26,24,32,6,30,28,4,34,30,32,2,28,30,30,30,30,34,34,30,32,22,28,14,18,4,14,12,22,10,8,6,28,10,4,4,30,2
"28",8,8,12,4,8,6,4,8,10,6,1e-09,6,2,6,6,4,30,30,28,28,30,28,28,30,30,32,32,0,32,26,36,8,30,6,32,26,26,34,6,32,28,8,30,32,32,4,26,32,36,28,32,32,32,36,34,24,28,16,18,6,18,14,26,10,12,8,28,6,2,12,28,16
"29",30,32,34,32,36,34,32,36,30,28,34,30,34,34,32,34,36,36,32,34,34,30,28,26,28,30,32,32,0,28,32,10,30,2,34,28,28,34,8,34,26,6,32,30,30,4,28,32,32,34,30,34,36,32,34,26,26,18,20,6,20,14,28,12,12,4,26,6,12,10,28,18
"30",30,28,34,28,26,10,2,4,8,4,2,8,8,10,10,12,6,12,10,8,6,2,8,4,10,4,26,26,28,0,28,4,30,8,34,28,28,32,2,34,32,8,32,32,30,6,30,28,32,30,28,32,30,32,30,28,26,20,16,16,18,20,28,8,8,10,28,2,8,28,30,18
"31",28,26,28,28,26,32,30,30,32,34,32,34,34,36,34,34,28,30,36,32,32,36,30,32,34,34,34,36,32,28,0,10,32,2,30,26,26,34,10,34,30,4,32,30,32,2,30,30,34,28,34,34,28,36,32,28,28,18,14,18,18,18,26,14,10,12,30,6,8,30,30,16
"32",30,24,22,24,26,26,24,26,28,22,24,12,6,2,8,8,6,2,6,2,4,6,2,4,4,10,8,8,10,4,10,0,28,28,28,28,28,32,12,36,30,2,30,32,30,8,28,30,30,32,30,30,34,30,32,26,26,20,16,18,22,22,28,16,10,24,24,8,4,30,28,14
